City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
64,tafuna,-14.3358,-170.72,27.370000000000005,78,6,3.85,AS,1699712453
65,vila franca do campo,37.7167,-25.4333,22.160000000000025,99,0,4.5,PT,1699712454
66,khunti,23.0833,85.2833,22.060000000000002,51,0,2.18,IN,1699712454
67,fortuna,40.5982,-124.1573,7.510000000000048,97,75,0.0,US,1699712367
68,shenjiamen,29.9576,122.298,16.27000000000004,77,100,7.79,CN,1699712455
69,bredasdorp,-34.5322,20.0403,21.450000000000045,48,9,9.78,ZA,1699712456
70,avarua,-21.2078,-159.775,23.03000000000003,94,100,1.54,CK,1699712456
71,kolonia,50.9333,6.95,10.03000000000003,81,75,5.66,DE,1699712457
72,kelso,46.1468,-122.9084,10.980000000000018,93,100,9.77,US,1699712457
73,maradi,13.5,7.1017,37.120000000000005,14,0,3.09,NE,1699712458
74,kabare,-2.4683,28.8242,18.77000000000004,97,99,1.56,CD,1699712459
75,fisterra,42.9049,-9.2629,18.189999999999998,93,100,11.5,ES,1699712459
76,fundulea,44.4667,26.5167,13.470000000000027,70,100,4.25,RO,1699712460
77,karratha,-20.7377,116.8463,25.620000000000005,63,0,8.43,AU,1699712460
78,codrington,-38.2667,141.9667,9.050000000000011,86,0,2.79,AU,1699712461
79,stanley,54.868,-1.6985,9.879999999999995,75,40,3.09,GB,1699712461
80,mejit,10.2753,170.8646,27.53000000000003,84,100,7.76,MH,1699712462
81,longyearbyen,78.2186,15.6401,-8.089999999999975,73,75,4.63,SJ,1699712462
82,paita,-5.0892,-81.1144,21.470000000000027,73,72,5.04,PE,1699712463
83,conneaut,41.9476,-80.5542,7.6200000000000045,77,82,4.32,US,1699712464
84,wainwright,52.839,-110.8572,-3.0299999999999727,76,6,5.35,CA,1699712469
85,puerto santa,-8.9906,-78.6456,20.27000000000004,81,39,4.08,PE,1699712470
86,talnakh,69.4865,88.3972,-11.509999999999991,96,100,2.15,RU,1699712470
87,al bawiti,28.3492,28.8659,28.28000000000003,32,91,2.0,EG,1699712471
88,hermanus,-34.4187,19.2345,18.600000000000023,69,0,7.48,ZA,1699712472
89,itoman,26.1247,127.6694,23.010000000000048,78,75,6.17,JP,1699712473
90,pangobilian,8.8011,117.8594,27.5,83,15,2.7,PH,1699712474
91,siquirres,10.0975,-83.5066,24.189999999999998,99,100,0.86,CR,1699712474
92,vorkuta,67.5,64.0,-7.529999999999973,98,69,3.2,RU,1699712475
93,emerald,-23.5333,148.1667,21.860000000000014,67,83,8.04,AU,1699712476
94,ulsan,35.5372,129.3167,5.830000000000041,45,91,3.22,KR,1699712203
95,santana,-0.0583,-51.1817,33.10000000000002,58,40,6.17,BR,1699712477
96,balkanabat,39.5108,54.3671,15.379999999999995,39,7,3.87,TM,1699712478
97,basawul,34.2475,70.8722,20.730000000000018,41,6,0.94,AF,1699712479
98,ola,59.5833,151.2833,-17.70999999999998,84,2,6.29,RU,1699712479
99,alice springs,-23.7,133.8833,28.75,42,40,3.6,AU,1699712480
100,olonkinbyen,70.9221,-8.7187,2.0,82,100,4.64,SJ,1699712481
101,kollo,13.3043,2.339,40.24000000000001,7,9,3.92,NE,1699712482
102,swift current,50.2834,-107.8014,-1.5499999999999545,74,0,6.17,CA,1699712189
103,fassberg,52.9,10.1667,7.010000000000048,87,99,3.6,DE,1699712483
104,arraial do cabo,-22.9661,-42.0278,26.920000000000016,74,0,5.66,BR,1699712484
105,puente nacional,5.8774,-73.6781,24.07000000000005,58,97,0.42,CO,1699712485
106,adamstown,-25.066,-130.1015,22.430000000000007,83,44,4.74,PN,1699712486
107,nizhneangarsk,55.7833,109.55,-6.669999999999959,58,34,1.79,RU,1699712486
108,tiksi,71.6872,128.8694,-12.560000000000002,88,100,7.89,RU,1699712487
109,bethel,41.3712,-73.414,9.450000000000045,68,0,2.06,US,1699712488
110,arteche,12.2645,125.4048,26.590000000000032,85,94,2.56,PH,1699712489
111,san andres,12.5847,-81.7006,30.010000000000048,74,20,5.66,CO,1699712489
112,linqiong,30.4159,103.4609,12.900000000000034,90,100,5.59,CN,1699712490
113,flin flon,54.7682,-101.865,-3.089999999999975,93,100,6.17,CA,1699712490
114,malvan,16.0667,73.4667,28.910000000000025,76,66,5.0,IN,1699712491
115,nha trang,12.25,109.1833,28.0,89,2,2.33,VN,1699712450
